14:37:09 [INFO] Batch: 10 NCAA D2 teams
14:37:42 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/17 "200"
14:37:43 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/18 "HTTP/1.1 200 OK"
14:37:43 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/18 "200"
14:37:43 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/19 "HTTP/1.1 200 OK"
14:37:43 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/19 "200"
14:37:44 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/20 "HTTP/1.1 200 OK"
14:37:44 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/20 "200"
14:37:45 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/21 "HTTP/1.1 200 OK"
14:37:45 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/21 "200"
14:37:45 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/29 "HTTP/1.1 200 OK"
14:37:45 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/29 "200"
14:37:46 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/30 "HTTP/1.1 200 OK"
14:37:46 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/30 "200"
14:37:47 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/31 "HTTP/1.1 200 OK"
14:37:47 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2025/12/31 "200"
14:37:47 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/01 "HTTP/1.1 200 OK"
14:37:47 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/01 "200"
14:37:48 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/02 "HTTP/1.1 200 OK"
14:37:48 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/02 "200"
14:37:48 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/03 "HTTP/1.1 200 OK"
14:37:48 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/03 "200"
14:37:49 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/04 "HTTP/1.1 200 OK"
14:37:49 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/04 "200"
14:37:49 [INFO]   Fetching scoreboards: 60/113
14:37:49 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/05 "HTTP/1.1 200 OK"
14:37:49 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d2/2026/01/05 "200"
